,US_M2_USD,dff,^GSPC,gini_coefficient
2013-11-01,10990300.0,0.08,1761.6400146484375,0.5352318424028693
2013-12-01,11117300.0,0.07,1800.9000244140625,0.5356387105321553
2014-01-01,11113700.0,0.07,1831.97998046875,0.5356561949329911
2014-02-01,11165700.0,0.07,1741.8900146484375,0.5355168462090945
2014-03-01,11289600.0,0.06,1845.72998046875,0.5370031692809758
2014-04-01,11342500.0,0.08,1885.52001953125,0.5375934761041319
2014-05-01,11285300.0,0.09,1883.6800537109375,0.5386018943318939
2014-06-01,11346900.0,0.08,1924.969970703125,0.5392150743087925
2014-07-01,11402700.0,0.1,1973.3199462890625,0.5393464195323151
2014-08-01,11433100.0,0.09,1925.1500244140625,0.5392608981052763
2014-09-01,11480600.0,0.07,2002.280029296875,0.5384236578155664
2014-10-01,11547900.0,0.09,1946.1600341796875,0.5400788600033046
2014-11-01,11624300.0,0.07,2017.81005859375,0.5393771649621647
2014-12-01,11770000.0,0.13,2053.43994140625,0.5376278877075562
2015-01-01,11768900.0,0.06,2058.199951171875,0.5378377484809055
2015-02-01,11857000.0,0.06,2020.8499755859375,0.5383698997017022
2015-03-01,11966100.0,0.06,2117.389892578125,0.537551058437947
2015-04-01,12014100.0,0.12,2059.68994140625,0.5386757851462035
2015-05-01,11917300.0,0.13,2108.2900390625,0.5375012729470732
2015-06-01,11972900.0,0.12,2111.72998046875,0.5380643514108888
2015-07-01,12024000.0,0.13,2077.419921875,0.538587483393633
2015-08-01,12080900.0,0.08,2098.0400390625,0.5381667936354648
2015-09-01,12147700.0,0.14,1913.8499755859375,0.5379193563611914
2015-10-01,12181800.0,0.13,1923.8199462890625,0.5366216062603898
2015-11-01,12309000.0,0.07,2104.050048828125,0.5363249093050494
2015-12-01,12438300.0,0.13,2102.6298828125,0.5371286538457711
2016-01-01,12489500.0,0.2,2012.6600341796875,0.5370841079113117
2016-02-01,12528300.0,0.38,1939.3800048828125,0.536860866075224
2016-03-01,12695900.0,0.36,1978.3499755859375,0.5370311866397929
2016-04-01,12789500.0,0.37,2072.780029296875,0.5361596153371163
2016-05-01,12720900.0,0.3,2081.429931640625,0.5362487627018049
2016-06-01,12801100.0,0.37,2099.330078125,0.5359929380403281
2016-07-01,12862400.0,0.41,2102.949951171875,0.5354904982060716
2016-08-01,12959200.0,0.4,2170.840087890625,0.5359456767222507
2016-09-01,13024800.0,0.4,2170.860107421875,0.535312630724667
2016-10-01,13083000.0,0.29,2161.199951171875,0.5360123942593975
2016-11-01,13194500.0,0.41,2111.719970703125,0.536270469423575
2016-12-01,13302800.0,0.41,2191.080078125,0.5360664070639407
2017-01-01,13284600.0,0.55,2257.830078125,0.5364788543598157
2017-02-01,13308800.0,0.66,2279.550048828125,0.5356507029660857
2017-03-01,13495100.0,0.66,2395.9599609375,0.5355203686874569
2017-04-01,13568600.0,0.82,2358.840087890625,0.535376682989741
2017-05-01,13478000.0,0.91,2388.330078125,0.5357303340273878
